name,year,competitiontitle,location,type,latitude,longitude,casestudy,about,authors,link
Seat Light Control,2014,Public Space Invitational 2014,Washington St. and Milk St.,Installation,42.3569786,-71.0609144,Yes,Transforming a street light control box into a bench,Peter Agoos,
LightWell,2014,Public Space Invitational 2014,South End Library Park,Installation,42.3413927,-71.0791525,Yes,Solar-powered public seat and planter that visualizes Boston's stormwater systems through LED lights connected to real-time groundwater sensors,"Michelle Laboy, Joshua Fiedler, Seth Wiseman",
LightWell v2*,2017,Public Space Invitational 2014,Back Bay,Installation,42.3658063,-71.0386949,,"Building off of the original LightWell project, this is a citizen science project using sensor-connected well caps and a mobile app to continuously collect and visualize groundwater data citywide","Michelle Laboy, Joshua Fiedler, Seth Wiseman, Boston Groundwater Trust",
Tidraphone,2014,Public Space Invitational 2014,Congress St. Bridge,Installation,42.351947,-71.0534938,,"Interactive tidal vibraphone installed on Congress Street Bridge that plays different melodies based on tide levels, using sound to engage the public with climate change and sea level rise","Kate Balug, Dana Busch, Alyson Fletcher, Emily Goldsmith, Conor MacDonald, Joseph Wight, Noah Vawter",
Stairs of Fabulousness,2014,Public Space Invitational 2014,Boston City Hall,Installation,42.360406,-71.0601817,Yes,"Temporary rainbow staircase installation at Boston City Hall using fluorescent grit tape to improve safety, visibility, and fabulousness",Liz LaManche,
Portable Reading Room,2014,Public Space Invitational 2014,"Rose Kennedy Greenway,
Chinatown Park",Installation,42.3520291,-71.0611263,Yes,Mobile library on the Rose Kennedy Greenway,"Leslie Davol, Sam Davol, Höweler + Yoon Architecture, Diana Limbach Lempel",
Franklin St. Neighborway,2016,Public Space Invitational 2016,"Allston, Franklin St. and Fern St.",Installation,42.3597233,-71.1352645,Yes,Street Mural on Franklin St. in Allston,"Mark Chase, Michelle Moon, Ross Miller, Jessica Robertson, Galen Mook, Emma Walters, Harry Mattison, John Powell, Lea Beaulieu, Paola Ferrer, Tim McHale",
Night Garden,2016,Public Space Invitational 2016,Bruce Bolling Building,Installation,42.330189,-71.0860373,,"Activating Boston's community gardens with outdoor light installations for evening gatherings and artistic expression, extending garden hours",Ethan Vogt,
Public Stage,2016,Public Space Invitational 2016,Symphony Community Park,Installation,42.3447736,-71.0897758,,Installation of a sound system at Symphony Community Park to stream live performances from the Boston Symphony Orchestra  with synchronized light displays during summer and fall evenings.,"Liat Racin, Matan Mayer, Mariko Davidson, Christiana Usenza, Alon Dagan",
Public Radio,2016,Public Space Invitational 2016,District Hall,Installation,42.3522913,-71.0474726,Yes,Giant radio for all at District Hall,"New American Public Art (Dan Sternof Beyer, Greg MacGlashing, Bevan Weissman) and Andrew Ringler",
